run_short,camera_short,selector_version,selector_kind,created_at_kst,window_start_kst,window_end_kst,selected_jobs,selected_with_prelabel,selected_linkage_kind,window_clips,window_clips_with_prelabel_at_run,window_time_kind,eligible_pool_kind
43266e70,5b3ea7aa,budget-router-v1,regular,2026-07-15T22:00:07.760275+09:00,2026-07-15T20:00:00+09:00,2026-07-15T22:00:00+09:00,3,3,exact,100,66,estimate,not_reconstructable
9997b4ef,5b3ea7aa,budget-router-v1,regular,2026-07-16T00:00:07.816950+09:00,2026-07-15T22:00:00+09:00,2026-07-16T00:00:00+09:00,4,3,exact,106,64,estimate,not_reconstructable
e2caf6d1,5b3ea7aa,budget-router-v1,regular,2026-07-16T02:00:07.059782+09:00,2026-07-16T00:00:00+09:00,2026-07-16T02:00:00+09:00,4,4,exact,80,58,estimate,not_reconstructable
dd3168fc,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:35.810999+09:00,2026-07-10T20:00:00+09:00,2026-07-10T21:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
49f6b0af,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.040167+09:00,2026-07-10T21:00:00+09:00,2026-07-10T22:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
5d1d5420,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.191778+09:00,2026-07-10T22:00:00+09:00,2026-07-10T23:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
ffb81572,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.334659+09:00,2026-07-10T23:00:00+09:00,2026-07-11T00:00:00+09:00,3,0,exact,0,0,estimate,not_reconstructable
c655bbb5,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.445515+09:00,2026-07-11T00:00:00+09:00,2026-07-11T01:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
558e1039,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.568227+09:00,2026-07-11T01:00:00+09:00,2026-07-11T02:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
018acb29,5b3ea7aa,budget-router-backfill-20260707-14-v1,backfill,2026-07-16T09:03:36.670450+09:00,2026-07-11T02:00:00+09:00,2026-07-11T03:00:00+09:00,4,0,exact,0,0,estimate,not_reconstructable
